dataset,elapsed_ms_total,inflation,mean_cost_sum,mean_cost_sum_astar,mean_path_len_cells,mean_path_len_cells_astar,mean_path_len_cells_rrtstar,mean_time_ms,mean_time_ms_astar,mean_time_ms_rrtstar,n,num_scenes,planner,pred_dir,run_tag,source,split,success_rate,success_rate_astar,success_rate_rrtstar,threshold
kitti,11.027300002751872,2,,10.207810640335083,,38.40559159102153,46.26232323067707,,0.6176999886520207,3.9623500051675364,2,2,both,,,labels,train,,1.0,1.0,0.5
kitti,4049.555600009626,2,,9.682246744632721,,31.14985207035848,36.29252167817877,,0.8233800006564707,160.62676400062628,25,25,both,,,labels,train,,0.8,0.8,0.5
kitti,31.166500004474074,2,,7.277598357200622,,28.5445742854949,34.19677690463314,,0.6408200075384229,4.753480001818389,5,5,both,,,labels,train,,1.0,1.0,0.5
kitti,15934.54779998865,2,,6.690031988676204,,28.14763605150575,33.95689431846693,,0.7789455175529733,35.71029353225991,433,433,both,,,labels,val,,0.6951501154734411,0.6951501154734411,0.4
kitti,12621.554800018203,2,,,,,,,,21.646503464202667,433,433,both,predictions\kitti\val,,labels,val,,0.0,0.0,0.4
kitti,14029.276799992658,2,,,,,,,,24.071942725703853,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.4
kitti,5471.837699999924,2,,7.861942918172905,,28.220180105176972,33.22150861906075,,0.6729051724505553,53.79127799999878,100,100,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.56,0.56,0.4
kitti,19405.336699972395,2,,7.912660149564134,,28.151414128640496,32.37848667739859,,0.6766638561454882,44.01887967557739,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.5427251732101617,0.5404157043879908,0.4
kitti,14502.54610000411,2,,6.0935678265567095,,26.30943712272011,31.671946325759,,0.6803490621678066,32.39921339401463,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.7344110854503464,0.7344110854503464,0.4
kitti,17538.4725999902,2,,7.376069744812771,,29.227975413124224,33.72085517639001,,0.6793911987341756,39.64732517394201,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.6558891454965358,0.6558891454965358,0.4
kitti,15171.592700004112,2,,10.264091429814615,,30.339149093302883,31.10133256652343,,0.44101236265413063,34.45251662847124,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.4226327944572748,0.40877598152424943,0.4
kitti,12934.263499977533,2,,8.54399499843518,,30.319414562336593,37.07958427656771,,0.9344110813267901,28.53162263307127,433,433,both,,,labels,val,,0.8314087759815243,0.8314087759815243,0.5
kitti,12833.646699989913,2,,,,,,,,21.95552956123619,433,433,both,predictions\kitti\val,,labels,val,,0.0,0.0,0.5
kitti,13830.26470002369,2,,,,,,,,23.68048314092784,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.5
kitti,6891.694200000529,2,,10.817534182169666,,32.63884637208467,40.86447003973184,,0.947221917706647,47.845121000045765,100,100,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.73,0.73,0.5
kitti,21912.412100005895,2,,11.416646560246798,,34.4876007717985,41.476798553903265,,1.1466793818767358,49.40310000067181,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.6443418013856813,0.6420323325635104,0.5
kitti,14987.295900005847,2,,7.850437665979068,,27.78120269242457,34.052543456231525,,0.7961979870157231,33.37576697237992,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.7967667436489607,0.7967667436489607,0.5
kitti,496.9583999773022,2,,11.155086350440978,,31.762236636408602,39.226691781809826,,1.0368800023570657,60.89903750398662,8,8,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.625,0.625,0.5
kitti,17717.528600012884,2,,9.108226331766101,,29.753311775427225,36.04674151584619,,0.830196809914449,39.833648036197516,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.7967667436489607,0.7967667436489607,0.5
kitti,17030.532700009644,2,,12.935478341341812,,33.668033427940266,38.5493382070554,,0.7998624582932736,38.35696697395884,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.6951501154734411,0.6951501154734411,0.5
kitti,15897.049300023355,2,,10.232611068375203,,30.77700443571737,37.875678998277614,,1.0265480631766892,35.27100554368444,433,433,both,,,labels,val,,0.836027713625866,0.836027713625866,0.6
kitti,21282.569700008025,2,,10.632250063425838,,31.816065263869813,39.426168448931804,,0.998725885844457,47.66998060044131,433,433,both,,,labels,val,,0.8475750577367206,0.8475750577367206,0.6
kitti,14115.909099986311,2,,,,,,,,24.127600691913074,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.6
kitti,7917.0704999996815,2,,13.084189229068302,,35.316852174126765,43.60655221899596,,1.3041559523983215,77.46133300002839,100,100,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.84,0.84,0.6
kitti,21724.22070003813,2,,13.218028926052327,,35.64916584944164,43.17585418517328,,1.2894181036872083,48.684578752021494,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.7944572748267898,0.7852193995381063,0.6
kitti,16391.914200037718,2,,10.506242166316673,,31.6866405537372,38.7558528939773,,1.023482242179271,36.36552425080966,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.8429561200923787,0.8406466512702079,0.6
kitti,21517.97359995544,2,,11.885657385853696,,32.370492587232185,39.72318050827005,,1.0364498645157012,48.386411317790845,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.8383371824480369,0.8383371824480369,0.6
kitti,18798.500400036573,2,,14.229348568609973,,32.84534609883197,40.085177411459746,,1.0410530735574683,42.12431431902297,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.8267898383371824,0.8267898383371824,0.6
nyu,3930.9259000001475,2,,9.24877609014511,,29.852795795510765,34.37606587861399,,0.7612749977852218,155.98350399872288,25,25,both,,,labels,train,,0.8,0.8,0.5
nyu,6287.4138000188395,2,,7.346450407611261,,29.33622503343718,35.6891941348548,,0.8110039605814411,46.762873284440516,131,131,both,,,labels,val,,0.7709923664122137,0.7709923664122137,0.4
nyu,4272.095799999079,2,,33.74660534370602,,132.15385170730184,152.9980157452148,,17.853575589742114,13.369096183344253,131,131,both,predictions\nyu\val,,labels,val,,0.9694656488549618,0.9694656488549618,0.4
nyu,4420.751400000881,2,,33.74660534370602,,132.15385170730184,152.9980157452148,,17.998059056781774,14.340205343781424,131,131,both,predictions\nyu\val,,pred,val,,0.9694656488549618,0.9694656488549618,0.4
nyu,5466.596099955495,2,,8.676014656630846,,34.70154635017507,41.12127560493054,,1.099304808751465,40.39639618357942,131,131,both,predictions\nyu\unet_rgb\val,unet_rgb,pred,val,,0.7938931297709924,0.7938931297709924,0.4
nyu,19593.50389998872,2,,7.237427211435217,,29.347243848722925,35.230452975526894,,2.0578452624919774,140.2389534354967,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.7251908396946565,0.7251908396946565,0.4
nyu,7068.840000021737,2,,7.674561665922988,,31.066441708177795,37.598210063861025,,0.8681813698928511,52.81404121814452,131,131,both,predictions\nyu\vit_rgbd\val,vit_rgbd,pred,val,,0.7786259541984732,0.7786259541984732,0.4
nyu,3859.9106000037864,2,,7.48265395186982,,29.65989270857914,35.087267033572246,,0.7323858461052812,28.416770230001195,131,131,both,predictions\nyu\vit_rgb\val,vit_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.4
nyu,3742.3113000113517,2,,9.115806738535563,,31.20694611813091,38.167790884784736,,0.9756572659000053,27.0843404564715,131,131,both,,,labels,val,,0.8931297709923665,0.8931297709923665,0.5
nyu,4758.084800007055,2,,37.215654976665974,,124.72509461966999,145.65904401580113,,19.18266953020975,15.105473281964944,131,131,both,predictions\nyu\val,,labels,val,,0.9770992366412213,0.9770992366412213,0.5
nyu,4302.487899985863,2,,37.215654976665974,,124.72509461966999,145.65904401580113,,17.38545234366029,13.62641068719299,131,131,both,predictions\nyu\val,,pred,val,,0.9770992366412213,0.9770992366412213,0.5
nyu,5963.119099964388,2,,8.102627992067697,,27.926590688745073,34.21189735901771,,0.8738075425839579,44.35146565172281,131,131,both,predictions\nyu\unet_rgb\val,unet_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.5
nyu,6582.668100018054,2,,9.472337851921717,,30.57350647362942,37.882961212833756,,2.354104166928058,47.237964884426006,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.916030534351145,0.916030534351145,0.5
nyu,6558.428000018466,2,,9.204094259538383,,30.78712894475779,38.053103052068145,,0.9338149526722241,48.80657938899088,131,131,both,predictions\nyu\vit_rgbd\val,vit_rgbd,pred,val,,0.816793893129771,0.816793893129771,0.5
nyu,6857.373800012283,2,,9.789017828005665,,33.7205389247324,41.44973411187857,,1.0719198139410746,50.997588548894605,131,131,both,predictions\nyu\vit_rgb\val,vit_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.5
nyu,4055.160300049465,2,,10.76451991165965,,32.52857737045767,40.68346155627141,,1.029218177595907,29.35948320273452,131,131,both,,,labels,val,,0.9236641221374046,0.9236641221374046,0.6
nyu,5334.481800004141,2,,43.62266743733333,,132.26326609058904,152.57344659127,,23.354014614596963,15.052594657710092,131,131,both,predictions\nyu\val,,labels,val,,0.9923664122137404,0.9923664122137404,0.6
nyu,5432.481499999994,2,,43.62266743733333,,132.26326609058904,152.57344659127,,23.88418307662225,15.275102290004947,131,131,both,predictions\nyu\val,,pred,val,,0.9923664122137404,0.9923664122137404,0.6
nyu,4822.931899980176,2,,10.634691970101718,,32.80013557070385,41.0694355791743,,1.1852931016494102,35.272648089248975,131,131,both,predictions\nyu\unet_rgb\val,unet_rgb,pred,val,,0.8854961832061069,0.8854961832061069,0.6
nyu,7773.273099999642,2,,11.836099523650713,,34.53309181606376,42.762196929625304,,2.958284296992058,55.742336640388615,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.9236641221374046,0.9236641221374046,0.6
nyu,4901.95179998409,2,,10.922800392158761,,32.486911002190375,40.695235877356616,,1.0826586791860664,35.90087557188413,131,131,both,predictions\nyu\vit_rgbd\val,vit_rgbd,pred,val,,0.9236641221374046,0.9236641221374046,0.6
nyu,2868.482000019867,2,,10.374635349866772,,31.56510021505483,39.78092359201646,,1.0701024824029897,20.45281220917085,131,131,both,predictions\nyu\vit_rgb\val,vit_rgb,pred,val,,0.9236641221374046,0.9236641221374046,0.6
nyu,64.58760000532493,2,6.886842091878255,,40.03336809769658,,,9.853279998060316,,,5,5,rrtstar,,,labels,val,0.6,,,0.5
